scenario,confluence,name,id,parametertype,dimensions,valueencoding,codeset,unitofmeasure,fillvalue,displayname,precision,visible,parameterfunctionid,parameterfunctionmap,qcfunctions,standardname,dataproductidentifier,description,longname,dataproducttype,datalevel
MASSP_A,MASSP,massp_power_relay_aux1,PD2486,quantity,,int8,,1,-99,AUX1 Solenoid Power Relay Status,,,,,,,,,,,
MASSP_A,MASSP,massp_sample_valve1,PD2487,quantity,,int8,,1,-99,Sampling Routing Valve 1 Status,,,,,,,,,,,
MASSP_A,MASSP,massp_sample_valve2,PD2488,quantity,,int8,,1,-99,Sampling Routing Valve 2 Status,,,,,,,,,,,
MASSP_A,MASSP,massp_sample_valve3,PD2489,quantity,,int8,,1,-99,Sampling Routing Valve 3 Status,,,,,,,,,,,
MASSP_A,MASSP,massp_sample_valve4,PD2490,quantity,,int8,,1,-99,Sampling Routing Valve 4 Status,,,,,,,,,,,
MASSP_A,MASSP,massp_ground_relay_status,PD2491,quantity,,int8,,1,-99,Status of the Ground Relay of All External Valves,,,,,,,,,,,
MASSP_A,MASSP,massp_external_valve1_status,PD2492,quantity,,int8,,1,-99,Status of the +24V Relay for External Valve 1,,,,,,,,,,,
MASSP_A,MASSP,massp_external_valve2_status,PD2493,quantity,,int8,,1,-99,Status of the +24V Relay for External Valve 2,,,,,,,,,,,
MASSP_A,MASSP,massp_external_valve3_status,PD2494,quantity,,int8,,1,-99,Status of the +24V Relay for External Valve 3,,,,,,,,,,,
MASSP_A,MASSP,massp_external_valve4_status,PD2495,quantity,,int8,,1,-99,Status of the +24V Relay for External Valve 4,,,,,,,,,,,
MASSP_A,MASSP,massp_cal_bag1_minutes,PD2496,quantity,,int16,,minutes,-9999,Total Time Calibration Bag 1 Has Been Used,,,,,,,,,,,
MASSP_A,MASSP,massp_cal_bag2_minutes,PD2497,quantity,,int16,,minutes,-9999,Total Time Calibration Bag 2 Has Been Used,,,,,,,,,,,
MASSP_A,MASSP,massp_cal_bag3_minutes,PD2498,quantity,,int16,,minutes,-9999,Total Time Calibration Bag 3 Has Been Used,,,,,,,,,,,
MASSP_A,MASSP,massp_nafion_heater_status,PD2499,quantity,,int8,,1,-99,Nafion Heater Settings,,,,,,,,,,,
MASSP_A,MASSP,massp_nafion_heater1_power,PD2500,quantity,,int8,,1,-99,Nafion Heater1 Power Setting,,,,,,,,,,,
MASSP_A,MASSP,massp_nafion_heater2_power,PD2501,quantity,,int8,,1,-99,Nafion Heater2 Power Setting,,,,,,,,,,,
MASSP_A,MASSP,massp_nafion_core_temp,PD2502,quantity,,int8,,degress C,-99,Nafion Core Temperature,,,,,,,,,,,
MASSP_A,MASSP,massp_nafion_elapsed_time,PD2503,quantity,,int16,,seconds,-9999,Nafion Regeneration Time Elapsed,,,,,,,,,,,
MASSP_A,MASSP,massp_ion_chamber_heater_status,PD2504,quantity,,int8,,1,-99,Ion Chamber Heater Settings,,,,,,,,,,,
MASSP_A,MASSP,massp_ion_chamber_heater1_status,PD2505,quantity,,int8,,1,-99,Ion Chamber Heater1 Status,,,,,,,,,,,
MASSP_A,MASSP,massp_ion_chamber_heater2_status,PD2506,quantity,,int8,,1,-99,Ion Chamber Heater2 Status,,,,,,,,,,,
MASSP_A,MASSP,massp_turbo_drive_current,PD2507,quantity,,int16,,cA,-9999,Current Used by Turbopump Motor,,,,,,,,,,,
MASSP_A,MASSP,massp_turbo_drive_voltage,PD2508,quantity,,int16,,cV,-9999,Voltage at Turbopump Motor,,,,,,,,,,,
MASSP_A,MASSP,massp_turbo_bearing_temperature,PD2509,quantity,,int16,,degrees C,-9999,Temperature of Turbopump Bearing,,,,,,,,,,,
MASSP_A,MASSP,massp_turbo_motor_temperature,PD2510,quantity,,int16,,degrees C,-9999,Temperature of Turbopump Bearing,,,,,,,,,,,
MASSP_A,MASSP,massp_turbo_rotation_speed,PD2511,quantity,,int16,,rpm,-9999,Rotational Speed of the Turbopump,,,,,,,,,,,
MASSP_A,MASSP,massp_rga_device_id,PD2512,quantity,,string,,1,empty,RGA ID String,,,,,,,,,,,
MASSP_A,MASSP,massp_rga_electron_energy,PD2513,quantity,,int8,,eV,-99,Electron Energy,,,,,,,,,,,
MASSP_A,MASSP,massp_rga_ion_energy,PD2514,quantity,,int8,,1,-99,Ion Energy,,,,,,,,,,,
MASSP_A,MASSP,massp_rga_focus_voltage,PD2515,quantity,,int16,,V,-9999,Focus Plate Voltage,,,,,,,,,,,
MASSP_A,MASSP,massp_rga_filament_emission_set,PD2516,quantity,,float32,,mA,-9999999,Electron Emission Current,,,,,,,,,,,
MASSP_A,MASSP,massp_rga_filament_emission_actual,PD2517,quantity,,float32,,mA,-9999999,Actual Electron Emission Current,,,,,,,,,,,
MASSP_A,MASSP,massp_rga_high_voltage_cdem,PD2518,quantity,,int16,,V,-9999,High Voltage CDEM,,,,,,,,,,,
MASSP_A,MASSP,massp_rga_noise_floor,PD2519,quantity,,int8,,1,-99,Noise Floor,,,,,,,,,,,
MASSP_A,MASSP,massp_rga_error_status,PD2520,quantity,,int8,,1,-99,Status Byte,,,,,,,,,,,
MASSP_A,MASSP,massp_rga_steps_per_amu,PD2521,quantity,,int8,,count,-99,Steps Per AMU,,,,,,,,,,,
MASSP_A,MASSP,massp_rga_initial_mass,PD2522,quantity,,int16,,amu,-9999,Initial Mass,,,,,,,,,,,
MASSP_A,MASSP,massp_rga_final_mass,PD2523,quantity,,int16,,amu,-9999,Final Mass,,,,,,,,,,,
MASSP_A,MASSP,massp_rga_readings_per_scan,PD2524,quantity,,int16,,count,-9999,Analog Scan Points,,,,,,,,,,,
MASSP_A,MASSP,massp_scan_data,PD2525,array<quantity>,,int32,,10e-16 Amps,-9999999,Array of Measurements Representing One Scan of the RGA,,,,,,,,,,,
HPIES,HPIES,hpies_data_valid,PD2526,boolean,,uint8,,1,0,Data Valid,,,,,,,,indicates if the data is valid (CRC matches data),,,
HPIES,HPIES,hpies_ver,PD2527,quantity,,uint8,,1,0,Version Number,,,,,,,,two-digit version number,,,
HPIES,HPIES,hpies_type,PD2528,quantity,,string,,1,empty,Data Type,,,,,,,,"""E"" for EF data 
""C"" for calibration data 
""f"" for motor data in forward direction 
""r"" for motor data in reverse direction",,,
HPIES,HPIES,hpies_dest,PD2529,quantity,,string,,1,empty,Pinched Tube,,,,,,,,"""a"" for pinching the ""A"" tubes 
""b"" for pinching the ""B"" tubes",,,
HPIES,HPIES,hpies_ibeg,PD2530,quantity,,uint16,,1,0,Index Begin,,,,,,,,index of first A/D buffer value,,,
HPIES,HPIES,hpies_iend,PD2531,quantity,,uint16,,1,0,Index End,,,,,,,,index+1 of last A/D buffer value,,,
HPIES,HPIES,hpies_hcno,PD2532,quantity,,uint16,,1,0,Half Cycle Number,,,,,,,,half-cycle number which increments,,,
HPIES,HPIES,hpies_secs,PD2533,quantity,,uint64,,seconds,0,Time,,,,,,,,"current time in seconds since Jan 1, 1970",,,
HPIES,HPIES,hpies_tics,PD2534,quantity,,uint16,,1,0,Tics,,,,,,,,number of 40-kHz ticks after <secs>,,,
HPIES,HPIES,hpies_navg_mot,PD2535,quantity,,uint8,,1,0,Motor Samples Sum,,,,,,,,number of 0.025-s motor ADC samples summed,,,
HPIES,HPIES,hpies_navg_ef,PD2536,quantity,,uint8,,1,0,EF ADC Samples Sum,,,,,,,,number of 0.1024-s EF ADC samples summed,,,
HPIES,HPIES,hpies_navg_cal,PD2537,quantity,,uint8,,1,0,Calibration ADC Samples Sum,,,,,,,,number of 0.1024-s calibration ADC samples summed,,,
HPIES,HPIES,hpies_stm_timestamp,PD2538,quantity,,uint64,,seconds,0,STM Timestamp,,,,,,,,"STM elapsed seconds since midnight Jan 1, 1970",,,
HPIES,HPIES,hpies_eindex,PD2539,quantity,,uint16,,1,0,Electric Field Sample Index,,,,,,,,electric field sample index,,,
HPIES,HPIES,hpies_e1c,PD2540,quantity,,uint16,,counts,0,E1c Channel Counts,,,,,,,IES_HEF_L0,E1c Channel Counts,,Unprocessed Data,L0
HPIES,HPIES,hpies_e1a,PD2541,quantity,,uint16,,counts,0,E1a Channel Counts,,,,,,,IES_HEF_L0,E1a Channel Counts,,Unprocessed Data,L0
HPIES,HPIES,hpies_e1b,PD2542,quantity,,uint16,,counts,0,E1b Channel Counts,,,,,,,IES_HEF_L0,E1b Channel Counts,,Unprocessed Data,L0
HPIES,HPIES,hpies_e2c,PD2543,quantity,,uint16,,counts,0,E2c Channel Counts,,,,,,,IES_HEF_L0,E2c Channel Counts,,Unprocessed Data,L0
HPIES,HPIES,hpies_e2a,PD2544,quantity,,uint16,,counts,0,E2a Channel Counts,,,,,,,IES_HEF_L0,E2a Channel Counts,,Unprocessed Data,L0
HPIES,HPIES,hpies_e2b,PD2545,quantity,,uint16,,counts,0,E2b Channel Counts,,,,,,,IES_HEF_L0,E2b Channel Counts,,Unprocessed Data,L0
HPIES,HPIES,hpies_mindex,PD2546,quantity,,uint8,,1,0,Motor Sample Index,,,,,,,,motor sample index,,,
HPIES,HPIES,hpies_motor_current,PD2547,quantity,,uint16,,counts,0,Motor Current Counts,,,,,,,,motor current -sum of counts in ADC channel,,,
HPIES,HPIES,hpies_cindex,PD2548,quantity,,uint8,,1,0,Calibration Sample Index,,,,,,,,calibration sample index,,,
HPIES,HPIES,hpies_c1c,PD2549,quantity,,uint16,,counts,0,E1c Channel Counts,,,,,,,,e1c channel counts,,,
HPIES,HPIES,hpies_c1a,PD2550,quantity,,uint16,,counts,0,E1a Channel Counts,,,,,,,,e1a channel counts,,,
HPIES,HPIES,hpies_c1b,PD2551,quantity,,uint16,,counts,0,E1b Channel Counts,,,,,,,,e1b channel counts,,,
HPIES,HPIES,hpies_c2c,PD2552,quantity,,uint16,,counts,0,E2c Channel Counts,,,,,,,,e2c channel counts,,,
HPIES,HPIES,hpies_c2a,PD2553,quantity,,uint16,,counts,0,E2a Channel Counts,,,,,,,,e2a channel counts,,,
HPIES,HPIES,hpies_c2b,PD2554,quantity,,uint16,,counts,0,E2b Channel Counts,,,,,,,,e2b channel counts,,,
HPIES,HPIES,hpies_hcno,PD2556,quantity,,uint8,,1,0,Half Cycle Number,,,,,,,,Half cycle number,,,
HPIES,HPIES,hpies_hcno_last_cal,PD2557,quantity,,uint8,,1,0,Half Cycle Number Last Calibration,,,,,,,,Half cycle number of last calibration,,,
HPIES,HPIES,hpies_hcno_last_comp,PD2558,quantity,,uint8,,1,0,Half Cycle Number Last Compass Value,,,,,,,,Half cycle number of last compass value,,,
HPIES,HPIES,hpies_ofile,PD2559,quantity,,string,,1,empty,Current Output Filename,,,,,,,,Current output filename,,,
HPIES,HPIES,hpies_ifok,PD2560,quantity,,string,,1,empty,File Write Status,,,,,,,,"File write status  ""NG"" on error, ""OK"" if still appending",,,
HPIES,HPIES,hpies_compass_fwrite_attempted,PD2561,quantity,,uint8,,1,0,Compass Records,,,,,,,,Number of compass records written to <ofile>,,,
HPIES,HPIES,hpies_compass_fwrite_ofp_null,PD2562,quantity,,uint8,,1,0,Compass Write Attempts OFile Corrupt,,,,,,,,Number of attempts to write compass data when <ofile> is corrupt,,,
HPIES,HPIES,hpies_mot_pwr_count,PD2563,quantity,,uint8,,1,0,Motor Power Count,,,,,,,,Up/down counter of motor power on/off.  Should be zero.,,,
HPIES,HPIES,hpies_start_motor_count,PD2564,quantity,,uint32,,1,0,Start Motor Count,,,,,,,,Number of main service loops while motor  current is being sampled.,,,
HPIES,HPIES,hpies_compass_port_open_errs,PD2565,quantity,,uint8,,1,0,Compass Port Open Failures,,,,,,,,Number of failures to open the compass serial port.,,,
HPIES,HPIES,hpies_compass_port_nerr,PD2566,quantity,,uint8,,1,0,Compass Port Read Decode Errors,,,,,,,,This should be incremented when there are read or decode errors from the compass.  Always zero (never changed in code).   Will be fixed to indicate read error count,,,
HPIES,HPIES,hpies_tuport_compass_null_count,PD2567,quantity,,uint8,,1,0,Compass Port Closed Count,,,,,,,,Number of times compass port is  found closed when trying to read it.,,,
HPIES,HPIES,hpies_irq2_count,PD2568,quantity,,uint8,,1,0,IRQ2 Interrupt Count,,,,,,,,Number of interrupt requests on IRQ2 line of 68332.,,,
HPIES,HPIES,hpies_spurious_count,PD2569,quantity,,uint8,,1,0,Spurious Count,,,,,,,,Number of spurious interrupts to the 68332.,,,
HPIES,HPIES,hpies_spsr_unknown_count,PD2570,quantity,,uint8,,1,0,SPSR Unknown Count,,,,,,,,Number of times the SPSR register bits 5 and 6 are set.,,,
HPIES,HPIES,hpies_pitperiod_zero_count,PD2571,quantity,,uint8,,1,0,PITperiod Zero Count,,,,,,,,Number of times the programable interval timer (PIT) is zero.,,,
HPIES,HPIES,hpies_adc_raw_overflow_count,PD2572,quantity,,uint8,,1,0,ADC Raw Overflow Count,,,,,,,,Number of times the analog to digital converter circular buffer overflows.,,,
HPIES,HPIES,hpies_max7317_add_queue_errs,PD2573,quantity,,uint8,,1,0,Max7317 Add Queue Errors,,,,,,,,Number of times the max7317 queue overflows.,,,
HPIES,HPIES,hpies_wsrun_rtc_pinch_end_nerr,PD2574,quantity,,uint8,,1,0,Water Switch Pinch Timing Errors,,,,,,,,Number of times water switch pinch timing is incorrect.,,,
HPIES,HPIES,hpies_ies_timestamp,PD2575,quantity,,uint64,,seconds,0,IES Timestamp,,,,,,,,"IES instrument time in elapsed seconds since midnight Jan 1, 1970.  Based on the Bliley oscillator - very stable",,,
HPIES,HPIES,hpies_n_travel_times,PD2576,quantity,,uint8,,1,0,Number of Travel Times,,,,,,,,"Number of travel times should be 4 (if not, the corresponding travel time fields will not be populated)",,,
HPIES,HPIES,hpies_travel_time1,PD2577,quantity,,uint32,,10 useconds,0,Round-Trip Acoustic Travel Time 1,,,,,,,IESRATT_L0,1st Round-trip acoustic travel time (RATT) measurement in 10 useconds.,,Unprocessed Data,L0
HPIES,HPIES,hpies_travel_time2,PD2578,quantity,,uint32,,10 useconds,0,Round-Trip Acoustic Travel Time 2,,,,,,,IESRATT_L0,2nd Round-trip acoustic travel time (RATT) measurement in 10 useconds.,,Unprocessed Data,L0
HPIES,HPIES,hpies_travel_time3,PD2579,quantity,,uint32,,10 useconds,0,Round-Trip Acoustic Travel Time 3,,,,,,,IESRATT_L0,3rd Round-trip acoustic travel time (RATT) measurement in 10 useconds.,,Unprocessed Data,L0
HPIES,HPIES,hpies_travel_time4,PD2580,quantity,,uint32,,10 useconds,0,Round-Trip Acoustic Travel Time 4,,,,,,,IESRATT_L0,4th Round-trip acoustic travel time (RATT) measurement in 10 useconds.,,Unprocessed Data,L0
HPIES,HPIES,hpies_pressure,PD2581,quantity,,uint32,,0.001 dbar,0,Seafloor Pressure,,,,,,,IESPRES_L0,Seafloor Pressure is a measurement of the force on the seafloor exerted by the weight of the overlying seawater column plus the weight of the atmosphere (hydrostatic plus atmospheric). This specific instance is the Level 0 unprocessed data product. Units: 0.001 dbar,Seafloor Pressure,Unprocessed Data,L0
HPIES,HPIES,hpies_temperature,PD2582,quantity,,uint32,,0.001 ºC,0,Seawater Temperature,,,,,,,,Seawater temperature near the sensor. Units: millidegrees Celsius,Seawater Temperature,,
HPIES,HPIES,hpies_bliley_temperature,PD2583,quantity,,uint32,,0.001 ºC,0,Bliley Oscillator Temperature,,,,,,,,Bliley oscillator temperature in millidegrees Celsius. L0 Metadata,,,
HPIES,HPIES,hpies_bliley_frequency,PD2584,quantity,,float32,,Hz,-99999,Bliley Oscillator Frequency,,,,,,,,Bliley oscillator frequency in Hz. Send alert if not within 200 Hz of 4 MHz (as it probably means that the pressure data is no good). L0 Metadata,,,
HPIES,HPIES,hpies_data_validity,PD2585,boolean,,uint8,,1,0,Data Validity,,,,,,,,indicates CRC passed  Combined data validity for all four status lines,,,
HPIES,HPIES,hpies_status_travel_times,PD2586,array<quantity>,,uint32,,10 useconds,0,Status Travel Times,,,,,,,,list of travel times (24),,,
HPIES,HPIES,hpies_status_pressures,PD2587,array<quantity>,,uint16,,0.001 dbars,0,Status Pressures,,,,,,,,list of depths (6); pressure and temperature readings are paired in the status string,,,
HPIES,HPIES,hpies_status_temperatures,PD2588,array<quantity>,,uint16,,0.001 deg Celsius,0,Status Temperatures,,,,,,,,list of temperature readings (6),,,
HPIES,HPIES,hpies_status_pressure_frequencies,PD2589,array<quantity>,,uint32,,mHz,0,Status Pressure Frequencies,,,,,,,,list of pressure frequencies (6)..  pressure and temperature frequencies are paired in the status string,,,
HPIES,HPIES,hpies_status_temperature_frequencies,PD2590,array<quantity>,,uint32,,mHz,0,Status Temperature Frequencies,,,,,,,,list of pressure frequencies (6),,,
HPIES,HPIES,hpies_backup_battery_voltage,PD2591,quantity,,float32,,V,-99999,Backup Battery Voltage,,,,,,,,battery voltage of the backup battery,,,
HPIES,HPIES,hpies_release_drain,PD2592,quantity,,float32,,mAmp,-99999,Release Battery Drain,,,,,,,,current drain on the release battery,,,
HPIES,HPIES,hpies_system_drain,PD2593,quantity,,float32,,mAmp,-99999,System Battery Drain,,,,,,,,current drain on the system battery,,,
HPIES,HPIES,hpies_release_battery_voltage,PD2594,quantity,,float32,,V,-99999,Release Battery Voltage,,,,,,,,release battery voltage,,,
HPIES,HPIES,hpies_system_battery_voltage,PD2595,quantity,,float32,,V,-99999,System Battery Voltage,,,,,,,,system battery voltage,,,
HPIES,HPIES,hpies_release_system_voltage,PD2596,quantity,,float32,,V,-99999,Release System Voltage,,,,,,,,release system +5V,,,
HPIES,HPIES,hpies_internal_temperature,PD2597,quantity,,float32,,deg C,-99999,Internal Temperature,,,,,,,,internal temperature,,,
HPIES,HPIES,hpies_average_travel_time,PD2598,quantity,,float32,,10 useconds,-99999,Average Travel Time,,,,,,,,average travel time for the previous day,,,
HPIES,HPIES,hpies_average_pressure,PD2599,quantity,,uint16,,0.001 dbar,0,Average Pressure,,,,,,,,average pressure for the previous day,,,
HPIES,HPIES,hpies_average_temperature,PD2600,quantity,,uint16,,0.001 deg Celsius,0,Average Temperature,,,,,,,,average temperature for the previous day,,,
HPIES,HPIES,hpies_last_pressure,PD2601,quantity,,float32,,Hz,-99999,Last Pressure,,,,,,,,last pressure sensor raw data value,,,
HPIES,HPIES,hpies_last_temperature,PD2602,quantity,,float32,,Hz,-99999,Last Temperature,,,,,,,,last temperature sensor raw data value,,,
HPIES,HPIES,hpies_ies_clock_error,PD2603,quantity,,float32,,Hz,-99999,IES Clock Error,,,,,,,,IES clock crystal error from 32768 Hz,,,
HPIES,HPIES,hpies_rsn_timestamp,PD2604,quantity,,uint64,,seconds,0,RSN Timestamp,,,,,,,,"RSN network time in elapsed seconds since midnight Jan 1, 1970",,,
DEPRECATED,DOSTA,dcl_controller_timestamp,PD2605,quantity,,string,,1,empty,DCL Controller Timestamp,0,,,,,,,Timestamp from the DCL controller,Deprecated - see PD12,,
"VELPT_J,CSPP_ENG_CSPP",VELPT_J,pressure_depth,PD2606,quantity,,float32,,dbar,-9999999,Seawater Pressure,3,,,,,,,Seawater Pressure refers to the pressure exerted on a sensor in situ by the weight of the column of seawater above it. It is calculated by subtracting one standard atmosphere from the absolute pressure at the sensor to remove the weight of the atmosphere on top of the water column. The pressure at a sensor in situ provides a metric of the depth of that sensor. Units: dbar,Seawater Pressure,,
VELPT_J,VELPT_J,velpt_pressure,PD2607,quantity,,float32,,dbar,-9999999,VELPT Pressure,3,,,,,,,Pressure measured by the VELPT-J instrumnet.,,,
VELPT_J,VELPT_J,velocity_beam1_m_s,PD2608,quantity,,float32,,m s-1,-9999999,Velocity Beam1 or X or East Coordinates,4,,,,,,,velocity beam1 or X or East coordinates (m/s),,,
VELPT_J,VELPT_J,velocity_beam2_m_s,PD2609,quantity,,float32,,m s-1,-9999999,Velocity Beam2 or Y or North Coordinates,4,,,,,,,velocity beam2 or Y or North coordinates (m/s),,,
VELPT_J,VELPT_J,velocity_beam3_m_s,PD2610,quantity,,float32,,m s-1,-9999999,Velocity Beam3 or Z or Up Coordinates,4,,,,,,,velocity beam3 or Z or Up coordinates (m/s),,,
OPTAA_DJ_CSPP,OPTAA_DJ_CSPP,on_seconds,PD2611,quantity,,float32,,s,-9999999,Powered on Time,4,,,,,,,"Powered On Time, s",,,
NUTNR_J_CSPP,NUTNR-J,year,PD2612,quantity,,uint16,,year,0,Year,0,,,,,,,The year of the sample,,,
NUTNR_J_CSPP,NUTNR-J,day_of_year,PD2613,quantity,,uint16,,1,0,Day of Year Number,,,,,,,,The day of the year of the sample,,,
NUTNR_J_CSPP,NUTNR-A,ctd_time_uint32,PD2614,quantity,,uint32,,seconds since 1970-01-01,0,"Time, CTD",0,,,,,,,Time in seconds since 1970-01-01 from a co-located CTD.,,,
NUTNR_J_CSPP,NUTNR-A,ctd_psu,PD2615,quantity,,float32,,1,-9999999,Practical Salinity,3,,,,,sea_water_practical_salinity,,Salinity is generally defined as the concentration of dissolved salt in a parcel of seawater. Practical Salinity is a more specific unitless quantity calculated from the conductivity of seawater and adjusted for temperature and pressure. It is approximately equivalent to Absolute Salinity (the mass fraction of dissolved salt in seawater) but they are not interchangeable. Units: unitless,Seawater Practical Salinity,,
NUTNR_J_CSPP,NUTNR-A,ctd_temp,PD2616,quantity,,float32,,ºC,-9999999,Seawater Temperature,4,,,,,sea_water_temperature,,Seawater temperature near the sensor. Units: degrees Celsius,Seawater Temperature,,
NUTNR_J_CSPP,NUTNR-A,ctd_dbar,PD2617,quantity,,float32,,dbar,-9999999,Seawater Pressure,3,,,,,sea_water_pressure,,Seawater Pressure refers to the pressure exerted on a sensor in situ by the weight of the column of seawater above it. It is calculated by subtracting one standard atmosphere from the absolute pressure at the sensor to remove the weight of the atmosphere on top of the water column. The pressure at a sensor in situ provides a metric of the depth of that sensor. Units: dbar,Seawater Pressure,,
"CTDPF_J_CSPP,CSPP_ENG_CSPP",CTDPF_J,suspect_timestamp,PD2622,boolean,,int8,,1,-99,Suspect Timestamp,0,,,,,,,"Flag indicating a potential inaccuracy in the timestamp. No - 0, Yes - 1",,,
TRHPH_A,TRHPH,trhph_thermistor_temp,PD2623,function,,float32,,ºC,-9999999,Thermistor Reference Temperature,0,,PFID108,"{""V_ts"":""PD428""}",,,TRHPHTE_REF_L1,Thermistor Reference Temperature from TRHPH is an intermediate data product that is important for monitoring and troubleshooting the instrument. It is engineering data that should not be confused with scientific data as it does not represent a scientifically meaningful environmental temperature. Units: degrees Celsius,Thermistor Reference Temperature,Science Data,L1
THSPH_A,THSPH,thsph_temp_th,PD2624,function,,float32,,ºC,-9999999,Vent Fluid Absolute Temperature - High,2,,PFID99,"{""tc_rawdec_H"":""PD2264"",""e2l_H"":""CC_e2l_H"",""l2s_H"":""CC_l2s_H"",""ts_rawdec_r"":""PD2266"",""e2l_r"":""CC_e2l_r"",""l2s_r"":""CC_l2s_r"",""s2v_r"":""CC_s2v_r""}",THSPHTE-TH,,THSPHTE-TH_L1,The Vent Fluid Absolute Temperature is the calibrated sum of the Thermocouple temperature and the Reference Thermistor temperature. This data product is a measurement of the high temperature fluid near the vent. Units: degrees Celsius,Vent Fluid Temperature - High Temperature Location,Science Data,L1
THSPH_A,THSPH,thsph_temp_tl,PD2625,function,,float32,,ºC,-9999999,Vent Fluid Absolute Temperature - Low,2,,PFID100,"{""tc_rawdec_L"":""PD2265"",""e2l_L"":""CC_e2l_L"",""l2s_L"":""CC_l2s_L"",""ts_rawdec_r"":""PD2266"",""e2l_r"":""CC_e2l_r"",""l2s_r"":""CC_l2s_r"",""s2v_r"":""CC_s2v_r""}",THSPHTE-TL,,THSPHTE-TL_L1,The Vent Fluid Absolute Temperature is the calibrated sum of the Thermocouple temperature and the Reference Thermistor temperature. This data product is a measurement of the low temperature fluid near the vent. Units: degrees Celsius,Vent Fluid Temperature - Low Temperature Location,Science Data,L1
THSPH_A,THSPH,thsph_temp_tch,PD2626,function,,float32,,ºC,-9999999,Vent Fluid Thermocouple Temperature - High,2,,PFID101,"{""tc_rawdec_H"":""PD2264"",""e2l_H"":""CC_e2l_H"",""l2s_H"":""CC_l2s_H""}",THSPHTE-TCH,,THSPHTE-TCH_L1,Vent Fluid Temperature is measured at the sample inlet of the Hydrothermal Vent Fluid In-situ Chemistry (THSPH) instrument. There are temperature measurements at two locations: one in high temperature vent fluid and one in low temperature fluid near the vent. This data product is the thermocouple temperature measurement of the high temperature vent fluid. Exact locations can be found in the metadata. Units: degrees Celsius,Vent Fluid Thermocouple Temperature - High Temperature Location,,L1
THSPH_A,THSPH,thsph_temp_tcl,PD2627,function,,float32,,ºC,-9999999,Vent Fluid Thermocouple Temperature - Low,2,,PFID102,"{""tc_rawdec_L"":""PD2265"",""e2l_L"":""CC_e2l_L"",""l2s_L"":""CC_l2s_L""}",THSPHTE-TCL,,THSPHTE-TCL_L1,Vent Fluid Temperature is measured at the sample inlet of the Hydrothermal Vent Fluid In-situ Chemistry (THSPH) instrument. There are temperature measurements at two locations: one in high temperature vent fluid and one in low temperature fluid near the vent. This data product is the thermocouple temperature measurement of the low temperature fluid near the vent. Exact locations can be found in the metadata. Units: degrees Celsius,Vent Fluid Thermocouple Temperature - Low Temperature Location,,L1
THSPH_A,THSPH,thsph_temp_int,PD2628,function,,float32,,ºC,-9999999,Internal Board Thermistor Temperature,2,,PFID103,"{""ts_rawdec_b"":""PD2267"",""e2l_b"":""CC_e2l_b"",""l2s_b"":""CC_l2s_b""}",THSPHTE-INT,,THSPHTE-INT_L1,Thermistor temperature inside the electronics pressure housing. Units: degrees Celsius,Internal Board Thermistor Temperature,,L1
THSPH_A,THSPH,thsph_temp_ref,PD2629,function,,float32,,ºC,-9999999,Reference Thermistor Temperature,2,,PFID104,"{""ts_rawdec_r"":""PD2266"",""e2l_r"":""CC_e2l_r"",""l2s_r"":""CC_l2s_r""}",THSPHTE-REF,,THSPHTE-REF_L1,Reference Thermistor Temperature at the electrical cold-junction in the sensor wand. Units: degrees Celsius,Reference Thermistor Temperature,,L1
THSPH_A,THSPH,thsph_ph,PD2630,function,,float32,,1,-9999,Vent Fluid pH - Measured Chloride,0,,PFID110,"{""counts_ysz"":""PD2260"",""counts_agcl"":""PD2261"",""temperature"":""PD2624"",""e2l_ysz"":""CC_e2l_ysz"",""e2l_agcl"":""CC_e2l_agcl"",""arr_hgo"":""CC_arr_hgo"",""arr_agcl"":""CC_arr_agcl"",""arr_tac"":""CC_arr_tac"",""arr_tbc1"":""CC_arr_tbc1"",""arr_tbc2"":""CC_arr_tbc2"",""arr_tbc3"":""CC_arr_tbc3"",""chl"":""PD966""}",THSPHPH-PH,,THSPHPH-PH_L2,"In-situ pH at high temperature location, using measured [Cl-] from TRHPH and a working reference AgCl electrode. Unitless.",,Science Data,L2
THSPH_A,THSPH,thsph_ph_acl,PD2631,function,,float32,,1,-9999,Vent Fluid pH - Assumed Chloride,0,,PFID111,"{""counts_ysz"":""PD2260"",""counts_agcl"":""PD2261"",""temperature"":""PD2624"",""e2l_ysz"":""CC_e2l_ysz"",""e2l_agcl"":""CC_e2l_agcl"",""arr_hgo"":""CC_arr_hgo"",""arr_agcl"":""CC_arr_agcl"",""arr_tac"":""CC_arr_tac"",""arr_tbc1"":""CC_arr_tbc1"",""arr_tbc2"":""CC_arr_tbc2"",""arr_tbc3"":""CC_arr_tbc3""}",THSPHPH-PH-ACL,,THSPHPH-PH-ACL_L2,"In-situ pH at high temperature location, using assumed [Cl-] from a physical sample and a working reference AgCl electrode. Unitless.",,Science Data,L2
